Seccion,azul ,rojo ,naranja ,negro 
415,21,35,15,2
415,20,41,14,4
415,33,31,11,1
415,24,35,10,2
415,27,29,12,2
415,21,39,12,1
416,22,41,10,2
416,23,42,11,2
417,30,36,7,2
417,26,37,12,1
418,17,35,9,2
418,21,32,13,1
419,21,35,9,4
419,23,34,12,1
419,20,38,14,2
420,26,38,10,1
420,20,42,11,1
421,20,34,14,4
421,17,35,14,2
421,16,38,16,4
421,22,29,14,5
421,17,35,16,2
421,18,37,14,2
421,19,36,13,3
421,16,37,14,2
422,23,34,8,3
422,31,35,7,2
423,16,36,12,2
423,17,41,9,4
424,21,39,10,3
424,19,40,14,3
424,22,36,13,2
424,18,37,14,2
424,17,40,10,2
425,12,48,11,3
425,18,33,10,3
426,26,36,11,2
426,33,29,9,1
427,18,37,8,3
427,16,35,17,4
428,22,46,7,1
428,23,43,10,3
428,24,37,9,2
428,26,39,10,1
429,26,43,13,1
429,21,42,10,2
429,21,42,7,3
429,21,43,6,2
430,26,27,10,1
430,28,30,9,5
430,24,30,9,4
431,33,43,7,2
431,25,49,12,2
432,20,50,10,3
432,27,44,8,5
432,19,50,12,2
432,20,53,10,2
433,26,49,11,3
433,29,50,8,2
434,16,49,12,2
434,38,39,10,3
435,33,43,7,1
435,34,39,11,1
437,25,45,9,3
437,23,51,10,2
437,18,50,12,2
437,17,51,10,4
438,32,42,7,1
439,28,42,12,3
439,27,45,12,3
439,28,43,7,2
440,19,52,13,2
440,29,50,10,3
440,25,48,12,3
440,28,47,12,2
440,26,46,12,1
440,22,49,9,4
440,24,50,9,2
440,22,50,10,2
440,21,51,11,4
441,27,53,8,1
441,24,53,10,1
442,25,45,7,4
442,30,46,5,4
442,25,44,7,4
443,31,41,9,2
443,27,47,9,2
443,29,47,8,2
444,24,51,4,7
444,30,43,3,6
445,24,46,8,2
445,21,54,7,2
445,31,46,8,3
446,24,57,8,3
446,26,55,7,3
446,25,54,8,3
447,30,47,4,5
447,22,50,8,4
447,32,49,3,2
447,25,47,9,5
448,36,41,5,4
448,26,44,6,6
449,31,43,8,4
449,23,48,10,5
449,23,46,11,4
449,27,44,9,4
450,30,44,8,3
450,26,40,9,4
451,30,43,6,5
451,29,48,8,3
452,25,38,20,3
452,19,43,18,2
453,29,33,26,2
453,29,36,19,2
453,28,31,24,3
454,25,40,21,2
454,26,42,16,1
454,24,41,20,2
455,36,24,23,3
456,32,34,21,3
457,33,27,29,2
457,35,28,30,2
458,31,24,26,5
458,33,25,27,3
460,10,25,10,3
460,10,32,8,2
460,8,33,11,4
461,13,43,9,5
461,8,38,6,3
461,8,42,6,2
462,9,40,5,4
462,15,35,7,3
462,9,38,4,2
463,14,27,3,3
463,14,30,3,3
463,12,30,5,3
464,6,46,5,2
464,8,43,3,3
464,6,45,4,3
465,8,31,4,2
466,8,32,4,3
466,12,26,4,2
467,8,43,6,4
467,7,43,5,5
467,6,37,4,4
467,7,42,5,3
468,7,28,4,3
468,8,27,2,3
469,11,41,7,2
469,10,36,6,3
469,9,42,5,2
469,11,35,5,2
469,13,31,5,3
470,17,43,11,2
470,19,49,8,3
470,31,40,10,1
471,16,43,8,2
471,17,44,6,6
471,11,45,10,2
472,15,43,11,2
472,15,50,7,2
473,9,51,12,3
473,10,50,8,3
473,13,48,8,3
473,12,49,9,3
473,9,54,7,4
473,10,51,10,2
473,11,47,10,2
473,14,51,8,3
473,13,46,7,2
473,8,52,11,2
473,11,49,9,2
473,10,51,9,4
473,10,53,10,2
473,9,51,10,1
474,14,41,4,2
474,11,33,7,3
475,12,38,9,2
475,11,32,12,4
475,11,45,10,2
476,15,44,5,2
476,13,47,7,1
476,19,42,12,3
476,14,44,7,3
476,11,50,6,2
476,13,46,7,3
476,18,42,7,2
